URL;VALID;TASK_ID;TASK_RUN_ID;USER_ID;INFO;REF
AUDIO;True;1829;5154;2856;mä hät denn auts zäme glääseni lüt wasme hät köne zämetriibe auts was chopf u loch hiegi müesi etz höre hets aube gheesse;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_1.mp3
AUDIO;True;1829;11335;3299;*** *** Als was Chopf und Loch heigi hets albe gheisse;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_1.mp3
AUDIO;True;1829;19803;4231;mä hätt denn all zämegläseni lüt was mä hätt chöne zämetriibe allz was chopf und loch hewi müessi jetzt höwe, hetts allwe ghese;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_1.mp3
AUDIO;True;1829;19849;4289;ma hät denn alz zämeglääseni Lüt wasme het chäne zäämetriibe alz was chopf u loch hiigi müessi jetze höre hets alube gshiise;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_1.mp3
AUDIO;True;1829;24287;2887;Ma het dénn alz zäme glääseni Lüt was me hät chöne zämetriibe allz was Chopf u Loch hégi müessi ez höwe héts aube ghéésse;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_1.mp3
AUDIO;True;1829;30820;3563;ma het denn allz zäme glääsenei lüt was mer het chöne zämetribe alts was chopf u loch heegi müesi ez höve hets aube gheesse;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_1.mp3
AUDIO;True;1830;6158;3019;mer s alles us grückt d erste het dri gschnitte es paar schritt gange e zwetei made e dritt, e virtte bi al zäme drin gis sind;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_2.mp3
AUDIO;True;1830;10807;2218;när isch also alles usgrückt dr erschte het dri gschnitte es paar schritt gange zweite id maade e dritte e vierte bis au zäme drin gsi si;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_2.mp3
AUDIO;True;1830;12018;3362;näsch auso alles usgrückt der erschta hät drigschnettä s paar schrett gangä näsch der zwetä id maadä de drittä, de viertä bis all zämme drin xi si;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_2.mp3
AUDIO;True;1830;12753;2413;me isch als alles uusgrückt der erschta het drigschnitte het es par Schritt gange na isch dr zweita i d'Maada der dritta, der vierta, bis all zämend drinn gsi sii;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_2.mp3
AUDIO;True;1830;14506;3534;mesch als walles uusgrückt dr erschta het drigschnitte hetsch es paar Schritt gange na isch dr zweita i d Maada dr dritta , dr vierta bis all zämen drin gsy sy;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_2.mp3
AUDIO;True;1830;18093;3654;Da isch also alles usgrückt, de erschta het d'Brigg gschnitte, es paar Schritt gange, denn isch de zweita i d'Maada, de dritta, de vierta bis all zäme drin gsi sind.;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_2.mp3
AUDIO;True;1830;20790;2887;Ma isch also alles usgrückt der erschta het driigschnitte hätsch es paar schritt ggange na isch der zweytag ipMaade dä dritta dä vierta bis all zämen drin gsi si;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_2.mp3
AUDIO;True;1830;21273;3914;Dä isch alls Wallis usgrückt där erschtä hät drigschnittä, hät es paar Schritt gange, dänn isch där Zweiitä id Made, de Drittä, de Viärtä, bis all zämen drin gsi si.;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_2.mp3
AUDIO;True;1830;25999;3351;*** isch also alles uusggrückt Der Erschta hät drigschnitta, nä sch s par Schritt ggange. Nä sch de Zweita id Maada, de Dritta, de Vierta, bis allzäme drin gsii si.;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_2.mp3
AUDIO;True;1830;32999;5028;nä isch also alles üssgrüggt dä erschtä hätt * gschnitte ä baar Schritt gange dä zwäide * dä dritte, dä vierdä bis all zämme * gsi sid;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_2.mp3
AUDIO;True;1831;7896;3234;Si jungfroue cho mit holzigä Gable gspriäted ***;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_3.mp3
AUDIO;True;1831;20727;2887;sii d Jumpfrouwe choo mit holzige Gable u héy das gmééyt Höü gschpréytet däm hépmu gséét woorbe;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_3.mp3
AUDIO;True;1831;23740;4610;sii jungfroue cho mit houzige gable u he das *** gspreetet *** worbe;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_3.mp3
AUDIO;True;1831;34028;2413;sii d'Jumpfrouë choo mit holzige Gable u hee das gmeet Höi gschpreetet dem het mu gseit: woorbe;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_3.mp3
AUDIO;True;1832;1569;2119;Ist die Bäuerin gekommen und hat das z'Nüni gebracht. Man hat so weitergearbeitet. Bis man am Mittag angerufen hat, dann hat man auf Gehört Meien und Meinen und zu Hause Mittag essen;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_4.mp3
AUDIO;True;1832;21936;4470;Isch Püüri cho und het Znüüni pracht mei het me soä witergschaffet bis wanes Mittag glütet het. Denn het mu uf ghört meie u *** un alls isch Hem ga Zmittag ässe;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_4.mp3
AUDIO;True;1832;23354;2413;isch Büüri choo und het z'Nüüni braacht nai hett me so wiiter gschaffut bis wann es Mittag glüttet het, denn het me uf- ghöört meeje, meeje und woorbe, und alls isch heem go z'Mittag ässe;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_4.mp3
AUDIO;True;1832;27178;2887;isch Püüri choo und hät Znüüni pracht *** häpme soè wiitergschaffet bis wanes Mittaag glütet hät. Dänn häpme ufghöört meeje u woorbe un alls isch heem ga Zmittaag ässe;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_4.mp3
AUDIO;True;1833;3088;2516;*** *** glanget. Sofort nachem ässe sind alli ufbroche und uf'd (matte?) und isch das was am Vormittag ... ? ? ?;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_5.mp3
AUDIO;True;1833;14321;3540;ä lengi mitnächscht stund häts dänn nid gä nöd emal zu mä mittagsschlefli hät es greicht sofort nach äm esse isch alls umi ufbroche und isch uf d matte und isch das was im vormittag gmäit isch cho gworda ghäbi hi ga chere dänn das isch ufersige scho troches gsi;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_5.mp3
AUDIO;True;1833;16815;3791;Alleni ni Aegschtun hets denn nit gae ned emal zumene Mittagsschläfli het es greicht. sofort nach em Esse isch allts umi ufbroche un isch uf d Mapa und isch das was im Vormittag...? worde ghäbe hi ga cheere denn das isch ietz uf eer Sita scho troches gsi;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_5.mp3
AUDIO;True;1833;17656;2887;a léngi Mittaagschtung häts dänn niggää Nét èmaal zumène Mittaagschlääfli héttes gréychet. Sofort nachèm ässe isch allzumi uufproche un isch ufpMatte und isch daas wos im Vormittaag gméyt u ggwòrbe ghäbe hééy ga chéére dän das isch ez *** schò tròches gsii;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_5.mp3
AUDIO;True;1833;19854;4270;ä lengi Mittagsstung hets denn nid gä nit ämol zumene Mittagsschläfli hät es greicht.Sofort noch äm Ässe isch alls umi ufbroche un isch uf d'Matte und isch das was im Vormittag gmeit isch cho worde **** hi go chere dänn das isch jetz **** scho troches gsi;https://dindialaekt.ch/data/transcribe/SDS_CD1_1_11_speaker1_5.mp3
